"Date","Production"
1981-08-15,8583
1981-09-15,8604
1981-10-15,8563
1981-11-15,8586
1981-12-15,8585
1982-01-15,8509
1982-02-15,8702
1982-03-15,8667
1982-04-15,8591
1982-05-15,8683
1982-06-15,8646
1982-07-15,8658
1982-08-15,8634
1982-09-15,8701
1982-10-15,8701
1982-11-15,8697
1982-12-15,8598
1983-01-15,8697
1983-02-15,8758
1983-03-15,8700
1983-04-15,8776
1983-05-15,8631
1983-06-15,8667
1983-07-15,8636
1983-08-15,8679
1983-09-15,8784
1983-10-15,8771
1983-11-15,8770
1983-12-15,8397
1984-01-15,8868
1984-02-15,8874
1984-03-15,8672
1984-04-15,8862
1984-05-15,8955
1984-06-15,8852
1984-07-15,8885
1984-08-15,8809
1984-09-15,8993
1984-10-15,8906
1984-11-15,8979
1984-12-15,8897
1985-01-15,8740
1985-02-15,9025
1985-03-15,9095
1985-04-15,9043
1985-05-15,9132
1985-06-15,9022
1985-07-15,8949
1985-08-15,8803
1985-09-15,8954
1985-10-15,8970
1985-11-15,8902
1985-12-15,9030
1986-01-15,9137
1986-02-15,9173
1986-03-15,9013
1986-04-15,8864
1986-05-15,8838
1986-06-15,8623
1986-07-15,8660
1986-08-15,8374
1986-09-15,8328
1986-10-15,8419
1986-11-15,8412
1986-12-15,8352
1987-01-15,8480
1987-02-15,8389
1987-03-15,8464
1987-04-15,8498
1987-05-15,8336
1987-06-15,8279
1987-07-15,8251
1987-08-15,8210
1987-09-15,8205
1987-10-15,8364
1987-11-15,8397
1987-12-15,8318
1988-01-15,8250
1988-02-15,8374
1988-03-15,8374
1988-04-15,8288
1988-05-15,8229
1988-06-15,8170
1988-07-15,8040
1988-08-15,8079
1988-09-15,7895
1988-10-15,8023
1988-11-15,8023
1988-12-15,7942
1989-01-15,7937
1989-02-15,7788
1989-03-15,7575
1989-04-15,7772
1989-05-15,7816
1989-06-15,7624
1989-07-15,7444
1989-08-15,7544
1989-09-15,7548
1989-10-15,7453
1989-11-15,7536
1989-12-15,7337
1990-01-15,7546
1990-02-15,7497
1990-03-15,7433
1990-04-15,7407
1990-05-15,7328
1990-06-15,7106
1990-07-15,7173
1990-08-15,7287
1990-09-15,7224
1990-10-15,7542
1990-11-15,7387
1990-12-15,7338
1991-01-15,7500
1991-02-15,7637
1991-03-15,7546
1991-04-15,7509
1991-05-15,7409
1991-06-15,7320
1991-07-15,7347
1991-08-15,7316
1991-09-15,7368
1991-10-15,7437
1991-11-15,7328
1991-12-15,7299
1992-01-15,7361
1992-02-15,7389
1992-03-15,7348
1992-04-15,7293
1992-05-15,7169
1992-06-15,7167
1992-07-15,7131
1992-08-15,6922
1992-09-15,7030
1992-10-15,7126
1992-11-15,7024
1992-12-15,7103
1993-01-15,6961
1993-02-15,6943
1993-03-15,6974
1993-04-15,6881
1993-05-15,6847
1993-06-15,6795
1993-07-15,6688
1993-08-15,6758
1993-09-15,6712
1993-10-15,6839
1993-11-15,6912
1993-12-15,6858
1994-01-15,6817
1994-02-15,6770
1994-03-15,6746
1994-04-15,6612
1994-05-15,6688
1994-06-15,6611
1994-07-15,6501
1994-08-15,6544
1994-09-15,6609
1994-10-15,6658
1994-11-15,6628
1994-12-15,6760
1995-01-15,6682
1995-02-15,6794
1995-03-15,6600
1995-04-15,6604
1995-05-15,6629
1995-06-15,6579
1995-07-15,6449
1995-08-15,6447
1995-09-15,6416
1995-10-15,6421
1995-11-15,6585
1995-12-15,6530
1996-01-15,6495
1996-02-15,6577
1996-03-15,6571
1996-04-15,6444
1996-05-15,6394
1996-06-15,6458
1996-07-15,6338
1996-08-15,6360
1996-09-15,6482
1996-10-15,6481
1996-11-15,6476
1996-12-15,6506
1997-01-15,6402
1997-02-15,6514
1997-03-15,6452
1997-04-15,6441
1997-05-15,6474
1997-06-15,6442
1997-07-15,6409
1997-08-15,6347
1997-09-15,6486
1997-10-15,6467
1997-11-15,6459
1997-12-15,6531
1998-01-15,6541
1998-02-15,6476
1998-03-15,6408
1998-04-15,6483
1998-05-15,6347
1998-06-15,6267
1998-07-15,6194
1998-08-15,6203
1998-09-15,5789
1998-10-15,6143
1998-11-15,6140
1998-12-15,6043
1999-01-15,5963
1999-02-15,5966
1999-03-15,5883
1999-04-15,5887
1999-05-15,5875
1999-06-15,5760
1999-07-15,5798
1999-08-15,5780
1999-09-15,5804
1999-10-15,5947
1999-11-15,5960
1999-12-15,5959
2000-01-15,5784
2000-02-15,5852
2000-03-15,5918
2000-04-15,5854
2000-05-15,5847
2000-06-15,5823
2000-07-15,5739
2000-08-15,5789
2000-09-15,5758
2000-10-15,5809
2000-11-15,5833
2000-12-15,5855
2001-01-15,5799
2001-02-15,5780
2001-03-15,5880
2001-04-15,5863
2001-05-15,5829
2001-06-15,5766
2001-07-15,5749
2001-08-15,5725
2001-09-15,5709
2001-10-15,5746
2001-11-15,5881
2001-12-15,5887
2002-01-15,5873
2002-02-15,5881
2002-03-15,5886
2002-04-15,5844
2002-05-15,5905
2002-06-15,5884
2002-07-15,5751
2002-08-15,5796
2002-09-15,5411
2002-10-15,5358
2002-11-15,5624
2002-12-15,5722
2003-01-15,5755
2003-02-15,5783
2003-03-15,5803
2003-04-15,5726
2003-05-15,5663
2003-06-15,5659
2003-07-15,5498
2003-08-15,5574
2003-09-15,5609
2003-10-15,5614
2003-11-15,5547
2003-12-15,5571
2004-01-15,5585
2004-02-15,5572
2004-03-15,5617
2004-04-15,5560
2004-05-15,5556
2004-06-15,5407
2004-07-15,5484
2004-08-15,5325
2004-09-15,5081
2004-10-15,5170
2004-11-15,5423
2004-12-15,5510
2005-01-15,5446
2005-02-15,5501
2005-03-15,5601
2005-04-15,5563
2005-05-15,5596
2005-06-15,5442
2005-07-15,5253
2005-08-15,5198
2005-09-15,4214
2005-10-15,4555
2005-11-15,4857
2005-12-15,4988
2006-01-15,5048
2006-02-15,5032
2006-03-15,5027
2006-04-15,5082
2006-05-15,5151
2006-06-15,5163
2006-07-15,5094
2006-08-15,5040
2006-09-15,5031
2006-10-15,5108
2006-11-15,5064
2006-12-15,5186
2007-01-15,5108
2007-02-15,5118
2007-03-15,5119
2007-04-15,5180
2007-05-15,5211
2007-06-15,5075
2007-07-15,5038
2007-08-15,4970
2007-09-15,4902
2007-10-15,5022
2007-11-15,5034
2007-12-15,5111
2008-01-15,5115
2008-02-15,5148
2008-03-15,5189
